,city,lat,temp_max,windspeed,cloudiness,humidity
135,aswan,24.09,94.53,12.48,0,18
136,dongsheng,29.72,76.89,3.53,68,98
137,praya,-8.71,75.2,9.17,40,83
138,ponta do sol,-20.63,79.5,5.21,0,44
139,hami,42.84,73.38,2.64,56,55
140,fortuna,38.18,95.0,16.11,0,45
141,ribeira grande,38.52,73.4,11.41,40,69
142,tasiilaq,65.61,41.0,5.82,75,80
143,praia,-20.25,80.6,8.05,0,28
144,bengbu,32.92,77.7,8.34,92,94
145,ayagoz,47.96,55.2,11.48,0,71
146,waingapu,-9.65,65.73,6.33,0,93
147,leh,34.16,29.01,0.85,88,98
148,palmerston,43.83,87.8,6.93,40,52
149,hilo,19.71,78.8,4.7,40,74
150,kangaatsiaq,68.31,39.18,13.71,64,96
151,longuenesse,50.74,77.0,6.93,0,60
152,airai,-8.93,64.47,1.41,24,95
153,lompoc,34.64,71.6,5.82,20,82
154,jiangyou,31.78,71.58,2.75,44,91
155,chongqing,29.56,77.0,2.42,90,94
156,vao,59.1,62.4,3.42,0,65
157,tornio,61.12,62.6,6.93,0,77
158,thompson,55.74,55.4,9.17,90,82
159,lata,30.78,55.38,1.86,88,86
160,chanthaburi,12.61,78.15,9.57,80,98
161,lampazos de naranjo,27.02,96.87,5.66,0,31
162,tourlaville,49.64,69.8,4.7,0,72
163,pangkalanbuun,-2.68,74.91,5.77,64,86
164,hasaki,35.73,78.8,17.22,75,88
165,shenjiamen,29.96,78.24,4.32,92,97
166,khatanga,71.98,46.38,7.23,76,57
167,komsomolskiy,67.55,52.23,3.09,0,54
168,half moon bay,37.46,71.6,18.34,90,52
169,alyangula,-13.85,73.65,11.03,0,100
170,andros town,24.73,87.8,11.41,75,66
171,pavilosta,56.89,60.8,3.36,0,82
172,mizdah,31.45,97.68,10.47,0,13
173,geraldton,49.72,78.8,10.29,90,61
174,noyabrsk,63.2,56.1,4.65,100,57
175,grove city,39.88,91.4,3.36,40,59
176,tiksi,71.64,63.12,3.2,0,74
177,khovu-aksy,51.13,46.65,4.43,88,92
178,egvekinot,66.32,52.68,3.31,76,72
179,olinda,-2.03,77.0,8.05,90,69
180,yumen,40.29,66.99,9.13,88,59
181,konya,37.87,77.0,4.7,0,33
182,arraial do cabo,-22.97,77.0,5.82,40,69
183,serdobsk,52.46,72.39,8.12,0,35
184,nageshwari,25.94,75.72,4.76,92,97
185,qujing,25.49,68.88,7.9,20,66
186,antsohihy,-14.88,73.65,11.14,0,69
187,gauribidanur,13.61,73.4,12.75,40,88
188,port elizabeth,39.31,91.4,11.41,20,49
189,coquimbo,-29.95,66.2,3.36,0,48
190,west des moines,41.56,91.4,10.29,1,55
191,hofn,64.25,53.6,4.7,90,87
192,ambon,47.55,71.6,12.75,40,68
193,plettenberg bay,-34.05,56.91,6.67,0,100
194,bambous virieux,-20.34,75.2,19.46,40,69
195,riyadh,24.63,100.4,4.7,0,8
196,lasa,34.92,80.6,10.29,20,88
197,boyabat,41.47,66.72,2.98,0,55
198,clyde river,70.47,41.0,5.82,90,80
199,upington,-28.46,48.2,2.24,0,24
200,espanola,46.27,85.8,5.21,8,44
201,vostok,46.45,54.12,4.32,92,64
202,karratha,-20.74,65.01,13.6,0,48
203,yamada,36.58,73.4,9.17,75,88
204,gizo,31.8,80.6,4.7,0,65
205,husavik,50.56,73.65,16.51,12,96
206,navrongo,10.89,87.6,4.76,0,63
207,luderitz,-26.65,61.86,6.44,0,47
208,balti,47.76,71.13,6.33,0,52
209,aviles,43.55,64.4,10.29,20,93
210,saskylakh,71.97,48.18,10.69,92,98
211,nouakchott,18.08,73.92,8.34,88,99
212,port-cartier,50.03,78.8,13.87,40,34
213,maniitsoq,65.42,41.43,4.99,76,83
214,castro,-42.48,43.77,5.66,76,100
215,san angelo,31.46,98.6,4.76,1,25
216,biak,-0.91,71.4,4.21,92,100
217,berlevag,70.86,44.6,6.93,75,93
218,campobasso,41.56,81.12,1.52,8,53
219,richards bay,-28.77,52.77,3.31,0,97
220,sipovo,44.28,66.63,1.74,20,83
221,cabo san lucas,22.89,91.4,10.29,5,49
222,taltal,-25.41,60.6,5.32,0,76
223,namibe,-15.19,72.12,3.98,0,94
224,vila franca do campo,37.72,69.8,13.87,75,64
225,bilma,18.69,96.42,4.76,12,14
226,ucluelet,48.94,71.6,2.19,75,56
227,beringovskiy,63.05,46.92,4.65,48,100
228,matamoros,25.87,93.2,14.99,20,56
229,progreso,-34.68,53.6,5.82,75,71
230,margate,-43.03,46.4,5.82,20,93
231,pucallpa,-8.38,84.2,3.36,75,74
232,mathbaria,22.29,79.14,6.44,92,97
233,malinyi,-8.94,70.68,2.08,80,77
234,chuy,-33.69,51.78,5.21,92,75
235,daru,7.99,70.5,4.21,92,100
236,padang,-0.92,74.82,6.44,68,100
237,mangrol,25.33,82.47,11.81,44,69
238,rosarito,4.91,84.2,10.29,75,72
239,leningradskiy,69.38,31.8,3.98,12,95
240,marfino,56.07,57.2,4.47,75,93
241,quatre cocos,-20.21,73.4,16.11,40,78
242,ixtapa,20.71,87.8,4.7,75,62
243,nouadhibou,20.93,77.0,14.99,20,61
244,atherton,53.52,78.8,4.7,0,36
245,yar-sale,66.83,48.18,9.24,0,71
246,sao francisco,-25.65,69.8,5.77,75,83
247,mosetse,-20.64,59.25,18.19,0,61
248,adrar,27.87,116.6,11.41,88,8
249,birao,10.3,73.65,3.98,20,86
250,zharkovskiy,55.85,59.07,6.78,20,82
251,moose factory,51.26,64.4,6.93,90,63
252,kuppam,12.75,78.33,10.36,24,63
253,dreux,48.74,84.2,6.93,0,41
254,chushan,33.3,71.4,9.91,92,100
255,broken hill,-31.97,46.92,13.04,0,71
256,chokurdakh,70.62,67.08,14.72,0,56
257,sharya,58.37,63.03,5.21,12,67
258,saint anthony,43.97,71.6,6.93,1,30
259,sao joao da barra,-21.64,77.0,11.41,75,73
260,cotonou,6.37,78.8,11.41,20,88
261,doha,25.29,98.6,3.36,0,25
262,oranjestad,12.52,84.2,21.92,75,74
263,lavrentiya,65.58,47.01,8.23,0,90
264,hervey bay,-25.3,67.89,9.24,76,95
265,price,39.6,82.4,3.42,1,8
266,outjo,-20.11,60.8,3.36,0,21
267,knysna,-34.04,50.0,4.7,0,76
268,boende,-0.28,75.18,2.42,12,88
269,tura,25.52,75.72,4.76,92,97
270,chara,39.42,82.4,4.7,0,54
271,kutum,14.2,79.14,6.67,88,49
272,vitina,41.43,82.4,1.19,20,69
273,sayansk,54.11,56.73,11.48,100,99
274,vilhena,-12.74,86.0,9.17,0,40
